"Feature","GSM468603.CEL.x","GSM468604.CEL.x","GSM468621.CEL.x","GSM468605.CEL","GSM468607.CEL","GSM468609.CEL.x","GSM468610.CEL.x","GSM468611.CEL.x","GSM468622.CEL.x","GSM468612.CEL","GSM468615.CEL.x","GSM468616.CEL.x","GSM468623.CEL.x","GSM468617.CEL","GSM468618.CEL","GSM468606.CEL","GSM468608.CEL","GSM468613.CEL","GSM468614.CEL","GSM468619.CEL","GSM468620.CEL"
"PSMG2",10.56058887,11.06562806,10.74397106,10.47007301,11.06781323,10.41310095,10.95478241,10.38865237,10.80855104,10.98556452,10.48948915,10.92803349,10.72108138,10.54758714,10.93501903,10.35277351,10.83201952,10.16542853,10.85019053,10.10909764,10.63285442
"ADPRM",6.949783716,7.184343873,6.849918125,6.950889967,6.898943175,6.906739474,7.190973546,6.910343793,6.997439422,7.168472797,7.168034057,7.293445513,7.050500363,6.920909164,7.096127225,6.772649355,7.061487708,6.947556056,7.183373013,7.053830716,7.251193934
"DTWD1",6.608129319,6.947493343,6.300564141,6.574563511,6.927847335,5.765150288,6.328222099,5.817415004,6.080147976,6.628689627,6.262748526,6.849165361,6.714376127,6.518498821,7.123947576,6.54612748,6.985066712,5.827627688,6.305712258,6.54612748,6.991427311
"BBX",3.941817911,4.672536585,3.705206844,4.199807169,4.140839091,3.229797082,3.323142202,3.206274513,3.389807498,3.599178319,3.662046321,4.082144462,3.444587047,3.774182372,3.848271212,3.626169951,4.309105243,3.163479424,3.838582998,3.486691638,3.733214404
"CDC42SE2",9.155166917,8.593377135,9.270227935,9.59100145,9.581653139,9.291347399,8.988975885,9.576631093,9.484051378,9.663715762,9.044213237,8.681921278,9.082786215,9.738115259,9.715128887,9.692245101,9.484051378,9.663782471,9.626544207,9.812127685,9.491761401
"KIF15",6.834005012,6.461414966,6.774118544,7.204761505,6.733873749,6.259671327,6.36686719,6.652121612,6.342964902,6.576379199,6.158056099,5.90983859,5.793388558,6.992883731,6.117405261,6.193396924,6.576114672,5.917529785,6.500044263,6.317695716,5.731846202
"TOMM22",4.881902459,5.301020489,4.818279399,4.830648131,5.661719751,4.550335899,5.423094595,4.961098288,5.1789965,5.357309585,4.75228108,5.864555384,4.684102239,4.965203151,5.843089538,4.981284511,5.409818257,4.669905146,5.633386028,5.046520072,5.340744885
"CHPT1",4.537588,5.064831189,4.771205674,4.728948596,5.075417204,4.17269977,5.066946834,4.184397691,4.404975096,5.205015425,4.256991349,4.888189645,4.717665074,4.596100399,5.006380334,4.755263671,5.121314786,4.130401007,5.240813122,4.74642996,4.852912268
"TULP4",7.787603803,7.571931012,7.438132413,7.248433945,6.916612577,7.63714438,7.629465434,7.334110644,7.22495113,7.316708928,7.547427816,7.500088441,7.133768998,7.205092963,6.96898546,7.376515701,7.270049292,7.194954426,7.082849704,7.263015664,6.740353158
"SLC12A9",4.954280553,5.430044592,5.819864529,4.90858754,5.519859396,5.206258327,5.420916542,5.248894315,5.728176166,5.739200222,5.280906858,5.328060472,5.356551149,4.853189406,5.210838566,4.940182545,5.731515849,5.170146447,5.398626364,5.096176902,5.098506832
