"Feature","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"PRICKLE3",8.550943574,8.772144611,8.591014009,8.569531247,8.755537983,8.661239188,8.550943574,8.772144611,8.591014009,8.569531247,8.755537983,8.661239188
"ZNF473CR",6.537124614,6.755464234,6.601738956,6.62069531,6.745225016,6.796050739,6.537124614,6.755464234,6.601738956,6.62069531,6.745225016,6.796050739
"ZNF880",6.46506637,6.517367312,6.624417425,6.694171648,6.698349296,6.748053033,6.46506637,6.517367312,6.624417425,6.694171648,6.698349296,6.748053033
"CLEC20A",7.97134537,7.974861153,7.528337586,7.911796482,7.709386232,7.956783886,7.97134537,7.974861153,7.528337586,7.911796482,7.709386232,7.956783886
"C1orf220",6.76642164,6.686428066,6.475664358,6.939454787,6.454063612,6.786754643,6.76642164,6.686428066,6.475664358,6.939454787,6.454063612,6.786754643
"LMO7",7.895358196,7.415112081,7.649281652,8.0884353,8.086665957,8.026847323,7.895358196,7.415112081,7.649281652,8.0884353,8.086665957,8.026847323
"FAM177B",5.446509386,5.842951281,5.3977904,5.571939594,4.977537451,5.569045032,5.446509386,5.842951281,5.3977904,5.571939594,4.977537451,5.569045032
"DEFB132",5.766467864,5.732306511,5.591979662,5.873056452,5.769832513,5.721906112,5.766467864,5.732306511,5.591979662,5.873056452,5.769832513,5.721906112
"LINC01597",5.692217928,6.314409678,5.771597106,5.843112241,6.178026834,6.10660421,5.692217928,6.314409678,5.771597106,5.843112241,6.178026834,6.10660421
"LINC00114",5.945168155,6.01522575,5.91203838,5.915226086,5.941000487,6.084384951,5.945168155,6.01522575,5.91203838,5.915226086,5.941000487,6.084384951
"ETS2-AS1",6.093195456,5.624479433,5.480426996,5.64129225,5.632489888,5.455189179,6.093195456,5.624479433,5.480426996,5.64129225,5.632489888,5.455189179
"LMX1A",6.959703726,7.083966152,6.650155195,6.835386466,6.674698658,7.102465025,6.959703726,7.083966152,6.650155195,6.835386466,6.674698658,7.102465025
"CHCHD10",10.09714956,10.32186701,10.37797336,10.30833647,10.31224828,10.34625971,10.09714956,10.32186701,10.37797336,10.30833647,10.31224828,10.34625971
