"Feature","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"A1BG",7.862887732,8.180885196,7.750111612,7.967093329,7.853706728,7.990057033,7.862887732,8.180885196,7.750111612,7.967093329,7.853706728,7.990057033
"NAT2",4.377501012,4.854897153,4.760909753,4.69395423,4.286823046,4.660032464,4.377501012,4.854897153,4.760909753,4.69395423,4.286823046,4.660032464
"ADA",10.27542454,10.6475102,10.29551928,10.18704893,10.2508998,10.27876737,10.27542454,10.6475102,10.29551928,10.18704893,10.2508998,10.27876737
"CDH2",11.18335287,11.11857024,11.00278669,11.2399387,10.96122632,11.00379591,11.18335287,11.11857024,11.00278669,11.2399387,10.96122632,11.00379591
"NR2E3",6.818281217,6.955903762,6.54630851,6.8175909,6.682152863,6.874896768,6.818281217,6.955903762,6.54630851,6.8175909,6.682152863,6.874896768
"NAALAD2",4.777326359,4.889918276,4.960310657,4.866491742,4.852465923,4.865775206,4.777326359,4.889918276,4.960310657,4.866491742,4.852465923,4.865775206
"NAALADL1",7.303057564,7.515814975,7.042592927,7.254442799,7.19393803,7.182514712,7.303057564,7.515814975,7.042592927,7.254442799,7.19393803,7.182514712
"ACOT8",9.035605945,9.137532984,9.018199212,9.164391218,9.394953139,9.302736515,9.035605945,9.137532984,9.018199212,9.164391218,9.394953139,9.302736515
"ABI1",10.33211596,10.31649002,10.3318819,10.36548668,10.3832779,10.35354163,10.33211596,10.31649002,10.3318819,10.36548668,10.3832779,10.35354163
"GNPDA1",10.03972915,9.766993044,9.853262045,9.993468067,9.765861397,9.717271214,10.03972915,9.766993044,9.853262045,9.993468067,9.765861397,9.717271214
"KCNE3",5.552343393,5.629780366,5.218934996,5.309035222,5.715981512,5.547078488,5.552343393,5.629780366,5.218934996,5.309035222,5.715981512,5.547078488
"ZBTB33",11.12035857,11.19092128,11.31541065,11.31660506,11.29306196,11.37638888,11.12035857,11.19092128,11.31541065,11.31660506,11.29306196,11.37638888
"CDH3",6.683106095,6.810430235,6.587524663,6.700711239,6.693085806,6.693835161,6.683106095,6.810430235,6.587524663,6.700711239,6.693085806,6.693835161
"TANK",10.38622849,10.06463345,10.54650307,10.58882543,10.63600353,10.66819043,10.38622849,10.06463345,10.54650307,10.58882543,10.63600353,10.66819043
"ZSCAN30",7.569506305,7.705212214,7.63292066,7.534539,7.656125688,7.631002921,7.569506305,7.705212214,7.63292066,7.534539,7.656125688,7.631002921
"SRA1",9.303281418,9.400627587,9.214239206,9.245996542,9.193142434,9.200593209,9.303281418,9.400627587,9.214239206,9.245996542,9.193142434,9.200593209
"SLCO4A1-AS1",7.616773411,7.71356639,7.537437716,7.564720153,7.504320533,7.554373231,7.616773411,7.71356639,7.537437716,7.564720153,7.504320533,7.554373231
"HGC6.3",8.110684199,8.121715934,7.73550317,8.29837516,8.014708019,8.137761887,8.110684199,8.121715934,7.73550317,8.29837516,8.014708019,8.137761887
"SCP2D1-AS1",5.464240481,5.485193795,5.048793827,5.416573803,5.467429646,5.400394434,5.464240481,5.485193795,5.048793827,5.416573803,5.467429646,5.400394434
"ERCC6L2-AS1",6.966494619,7.122528088,7.218516572,6.899532052,7.002521722,6.955763461,6.966494619,7.122528088,7.218516572,6.899532052,7.002521722,6.955763461
"LOC100129534",7.544264015,7.784629031,7.555286062,7.468773914,7.686283249,7.525528202,7.544264015,7.784629031,7.555286062,7.468773914,7.686283249,7.525528202
"LINC01126",6.688686102,6.757291725,6.36930562,6.64897602,6.447494564,6.674527936,6.688686102,6.757291725,6.36930562,6.64897602,6.447494564,6.674527936
"IRAG1-AS1",8.221133241,8.372609078,8.036608954,8.05765449,8.093185385,8.223026188,8.221133241,8.372609078,8.036608954,8.05765449,8.093185385,8.223026188
"HDAC6",8.45093395,8.645326851,8.52631006,8.229583962,8.326534448,8.33082188,8.45093395,8.645326851,8.52631006,8.229583962,8.326534448,8.33082188
"LINC02961",5.726981127,6.188560871,5.654160121,6.156646028,5.595589711,6.243938703,5.726981127,6.188560871,5.654160121,6.156646028,5.595589711,6.243938703
"LINC02593",7.134377474,7.195989516,6.93526083,7.106690149,6.993182632,7.204294562,7.134377474,7.195989516,6.93526083,7.106690149,6.993182632,7.204294562
"LOC100130691",6.201310446,6.392064598,6.442920386,6.386398095,6.443765519,6.355852505,6.201310446,6.392064598,6.442920386,6.386398095,6.443765519,6.355852505
"ZNF663P",5.323915672,5.408007067,5.264477006,5.186778724,5.163413078,5.175876816,5.323915672,5.408007067,5.264477006,5.186778724,5.163413078,5.175876816
"ZNF594-DT",6.336302906,6.386455865,6.342493527,6.453287372,6.179638174,6.258218882,6.336302906,6.386455865,6.342493527,6.453287372,6.179638174,6.258218882
"CD300LD",4.787482508,5.223738633,4.565610723,4.887923613,4.694680833,4.950364347,4.787482508,5.223738633,4.565610723,4.887923613,4.694680833,4.950364347
"DBIL5P",6.642319142,6.790332569,6.61341307,6.475270016,6.732177581,6.73786491,6.642319142,6.790332569,6.61341307,6.475270016,6.732177581,6.73786491
"FAM83A-AS1",6.6111835,6.813431723,6.426272618,6.425561556,6.459791304,6.70644137,6.6111835,6.813431723,6.426272618,6.425561556,6.459791304,6.70644137
"ARMCX4",6.96954683,6.949237016,7.198636583,6.725917754,6.879651473,6.888762255,6.96954683,6.949237016,7.198636583,6.725917754,6.879651473,6.888762255
"UBE2DNL",7.713934401,7.882241233,7.539749344,7.644005037,7.455091758,7.613004399,7.713934401,7.882241233,7.539749344,7.644005037,7.455091758,7.613004399
"LOC100131943",4.322903298,4.315001071,4.220486681,4.175409583,4.193933264,4.264558763,4.322903298,4.315001071,4.220486681,4.175409583,4.193933264,4.264558763
"CLUHP3",6.74713583,6.851800244,6.667910797,6.868856699,6.679927608,6.982459654,6.74713583,6.851800244,6.667910797,6.868856699,6.679927608,6.982459654
"LOC100132356",7.074933286,7.533138131,7.479664451,6.656847347,6.908154045,7.392132757,7.074933286,7.533138131,7.479664451,6.656847347,6.908154045,7.392132757
"LOC100132686",4.295945197,4.873343006,4.38613172,3.829222352,4.690690073,4.999659095,4.295945197,4.873343006,4.38613172,3.829222352,4.690690073,4.999659095
"DPH3P1",6.643592465,6.932757816,6.510705555,6.722126847,6.583995533,6.892450188,6.643592465,6.932757816,6.510705555,6.722126847,6.583995533,6.892450188
"CD24",4.307682477,4.060755892,4.800857333,3.910956023,3.593404621,3.903081556,4.307682477,4.060755892,4.800857333,3.910956023,3.593404621,3.903081556
"LOC100134868",7.327122199,7.756869487,6.971425979,7.316996506,7.411827341,6.96717633,7.327122199,7.756869487,6.971425979,7.316996506,7.411827341,6.96717633
"HDAC5",8.794337822,9.25060925,8.814331769,8.633094372,8.824910026,8.72837814,8.794337822,9.25060925,8.814331769,8.633094372,8.824910026,8.72837814
"C17orf99",8.327721869,8.5575094,8.051412273,8.397289333,8.256482563,8.36422071,8.327721869,8.5575094,8.051412273,8.397289333,8.256482563,8.36422071
"LINC00029",7.56090774,7.4954924,7.539450102,7.46646432,7.341079405,7.486113627,7.56090774,7.4954924,7.539450102,7.46646432,7.341079405,7.486113627
"DBIL5P2",5.957766423,5.571942957,5.494547997,5.593744685,5.62581586,6.065742831,5.957766423,5.571942957,5.494547997,5.593744685,5.62581586,6.065742831
"BCL2L10",7.584598419,8.043965043,7.862621614,7.595875109,7.381998572,7.485896438,7.584598419,8.043965043,7.862621614,7.595875109,7.381998572,7.485896438
"BCL2L11",7.560690435,7.987842832,8.148472586,7.662262857,7.685831992,7.885796238,7.560690435,7.987842832,8.148472586,7.662262857,7.685831992,7.885796238
"SH2B3",11.03173532,11.01829449,10.94135851,11.01594945,11.13789335,11.06420669,11.03173532,11.01829449,10.94135851,11.01594945,11.13789335,11.06420669
"CDH4",7.572265135,7.677982695,7.433316888,7.574748301,7.509746027,7.565650249,7.572265135,7.677982695,7.433316888,7.574748301,7.509746027,7.565650249
"GNE",8.916074412,8.880586791,8.966403893,8.87711346,8.756262712,8.670259096,8.916074412,8.880586791,8.966403893,8.87711346,8.756262712,8.670259096
"HCN4",7.822379877,7.852174168,7.601668704,7.866803668,7.809135429,7.825398006,7.822379877,7.852174168,7.601668704,7.866803668,7.809135429,7.825398006
"INSL5",5.271289676,4.828584325,4.683871845,4.82484373,4.426399721,5.026788013,5.271289676,4.828584325,4.683871845,4.82484373,4.426399721,5.026788013
"FRAT1",7.587264571,7.808316422,7.50865438,7.445487373,7.574606256,7.365811737,7.587264571,7.808316422,7.50865438,7.445487373,7.574606256,7.365811737
"TROAP",9.236415515,8.820119992,9.039619769,9.014914438,8.701862621,8.898871387,9.236415515,8.820119992,9.039619769,9.014914438,8.701862621,8.898871387
"MED16",9.944357967,10.07101888,9.846009214,9.900505885,9.889971238,9.922616329,9.944357967,10.07101888,9.846009214,9.900505885,9.889971238,9.922616329
"PIGK",9.92988712,9.665389036,9.873281937,10.03823216,9.94534152,9.89245325,9.92988712,9.665389036,9.873281937,10.03823216,9.94534152,9.89245325
"LOC100287290",5.34965834,5.228260743,5.53553618,5.428275516,5.329206405,5.181262482,5.34965834,5.228260743,5.53553618,5.428275516,5.329206405,5.181262482
"LINC00173",5.856357921,6.0180696,5.596334786,5.833041406,5.735918274,6.195845438,5.856357921,6.0180696,5.596334786,5.833041406,5.735918274,6.195845438
"LOC100287792",6.780639737,6.873641191,6.497278174,6.828902717,6.858685362,6.791101006,6.780639737,6.873641191,6.497278174,6.828902717,6.858685362,6.791101006
"LIPT2-AS1",7.407656389,7.744118945,7.39884846,7.262409098,7.30375491,7.275585819,7.407656389,7.744118945,7.39884846,7.262409098,7.30375491,7.275585819
"LGALS8-AS1",6.887741535,7.132039989,6.641521198,6.688754936,6.800554546,6.723676351,6.887741535,7.132039989,6.641521198,6.688754936,6.800554546,6.723676351
"ERVMER34-1",6.710283423,6.522412192,6.163094244,6.734760885,6.376276813,6.539764747,6.710283423,6.522412192,6.163094244,6.734760885,6.376276813,6.539764747
"TMEM239",8.877254267,8.848148209,8.735998048,8.927507334,8.890327587,8.902175636,8.877254267,8.848148209,8.735998048,8.927507334,8.890327587,8.902175636
"KCTD21-AS1",7.209385434,7.153666336,7.321853127,7.040009094,7.135356523,7.133190238,7.209385434,7.153666336,7.321853127,7.040009094,7.135356523,7.133190238
"HSALR1",7.367580306,7.154857959,6.700891072,7.256136501,6.963010049,7.064732185,7.367580306,7.154857959,6.700891072,7.256136501,6.963010049,7.064732185
"CDH5",13.44511797,13.51341203,13.32962807,13.48236124,13.60460982,13.48775852,13.44511797,13.51341203,13.32962807,13.48236124,13.60460982,13.48775852
"CHAF1A",9.29585021,8.988975479,8.895981177,9.453310849,9.098341278,8.975068994,9.29585021,8.988975479,8.895981177,9.453310849,9.098341278,8.975068994
"GRIK1-AS2",5.170117816,5.29617492,4.940052236,5.063165463,5.094918004,4.946733189,5.170117816,5.29617492,4.940052236,5.063165463,5.094918004,4.946733189
"PARP2",9.171801576,8.859129337,9.135791856,9.270552378,8.986295179,9.121300224,9.171801576,8.859129337,9.135791856,9.270552378,8.986295179,9.121300224
"PARP3",9.48166117,9.567290726,9.624033807,9.217754871,9.335575326,9.541569229,9.48166117,9.567290726,9.624033807,9.217754871,9.335575326,9.541569229
"CDH6",6.073749449,6.207923326,5.85649047,5.98004526,5.775455581,6.079564754,6.073749449,6.207923326,5.85649047,5.98004526,5.775455581,6.079564754
"TOM1L1",4.849332572,4.808868966,4.527064086,4.732765901,4.658717885,5.112227885,4.849332572,4.808868966,4.527064086,4.732765901,4.658717885,5.112227885
"HMGXB4",9.665524413,9.654500875,9.687801455,9.799651565,9.58952721,9.645635506,9.665524413,9.654500875,9.687801455,9.799651565,9.58952721,9.645635506
"PLA2G12AP1",7.470800791,7.723258407,7.625718927,7.589224819,7.505379014,7.845166244,7.470800791,7.723258407,7.625718927,7.589224819,7.505379014,7.845166244
"LOC100422526",7.65105877,7.932753144,8.410257763,7.962296445,7.890478217,7.937066017,7.65105877,7.932753144,8.410257763,7.962296445,7.890478217,7.937066017
"TOM1",10.11558222,10.23617107,9.912020188,9.935509105,10.01435833,9.839514547,10.11558222,10.23617107,9.912020188,9.935509105,10.01435833,9.839514547
"SH2D3C",11.46890969,11.50769712,11.44505608,11.5923233,11.67961367,11.76681917,11.46890969,11.50769712,11.44505608,11.5923233,11.67961367,11.76681917
"SH2D3A",8.077203045,8.147495775,7.869033771,8.061676248,7.927229336,8.117137445,8.077203045,8.147495775,7.869033771,8.061676248,7.927229336,8.117137445
"MAMLD1",9.196789391,8.966212238,9.092415769,9.383956821,9.192813268,9.202595697,9.196789391,8.966212238,9.092415769,9.383956821,9.192813268,9.202595697
"CST8",5.120849647,5.332324337,5.438647754,5.455169204,5.082202255,5.399788741,5.120849647,5.332324337,5.438647754,5.455169204,5.082202255,5.399788741
"RANBP9",10.92641395,11.0940726,11.09666452,10.96423897,11.12370644,11.02108047,10.92641395,11.0940726,11.09666452,10.96423897,11.12370644,11.02108047
"CDH7",5.205281127,5.330871348,5.231765094,5.236782407,5.19297374,5.366888043,5.205281127,5.330871348,5.231765094,5.236782407,5.19297374,5.366888043
"SLC17A4",5.522815971,5.674572771,5.433830445,5.659286857,5.466909149,5.753018022,5.522815971,5.674572771,5.433830445,5.659286857,5.466909149,5.753018022
"LINC01602",3.390931838,3.495030388,3.61206598,3.09359656,3.42662888,3.155652039,3.390931838,3.495030388,3.61206598,3.09359656,3.42662888,3.155652039
"NDUFV1-DT",6.016965957,6.220246527,5.969169726,5.989799176,5.708916404,5.709538689,6.016965957,6.220246527,5.969169726,5.989799176,5.708916404,5.709538689
"SPATA1",4.918548909,4.927800266,4.947600805,4.922571191,4.965774408,4.940059575,4.918548909,4.927800266,4.947600805,4.922571191,4.965774408,4.940059575
"KIF25-AS1",7.877021127,7.978243069,7.59850149,7.971407718,7.619694508,7.931455012,7.877021127,7.978243069,7.59850149,7.971407718,7.619694508,7.931455012
"LINC00649",5.764549237,6.029616277,6.027742465,6.092578279,6.171857212,5.798273566,5.764549237,6.029616277,6.027742465,6.092578279,6.171857212,5.798273566
"LINC03106",6.07973197,6.604822952,6.012707329,5.871058266,6.57195957,6.705292004,6.07973197,6.604822952,6.012707329,5.871058266,6.57195957,6.705292004
"LINC02809",7.001854099,7.174016889,7.018081788,6.981313511,6.865481979,7.116844497,7.001854099,7.174016889,7.018081788,6.981313511,6.865481979,7.116844497
"CASP12",6.823520097,7.112051858,7.349044149,6.675306829,6.781104825,7.130184947,6.823520097,7.112051858,7.349044149,6.675306829,6.781104825,7.130184947
"PWAR6",5.422723079,4.965000969,6.204290672,5.99858102,5.19113289,5.351635611,5.422723079,4.965000969,6.204290672,5.99858102,5.19113289,5.351635611
"LINC00943",6.42190739,6.46298821,6.397122333,6.329807562,6.220367135,6.328852923,6.42190739,6.46298821,6.397122333,6.329807562,6.220367135,6.328852923
"C8orf17",6.508373316,6.627602115,6.378632693,6.646362306,6.620900677,6.544731398,6.508373316,6.627602115,6.378632693,6.646362306,6.620900677,6.544731398
"PARM1-AS1",5.32514856,5.139357101,5.227375888,5.635024949,5.302322576,5.067276772,5.32514856,5.139357101,5.227375888,5.635024949,5.302322576,5.067276772
"LINC02551",5.852996922,5.892668354,5.445577769,5.879427002,5.557549773,5.589295182,5.852996922,5.892668354,5.445577769,5.879427002,5.557549773,5.589295182
"PPP1R2P1",4.84169585,4.856166362,4.716850757,4.812318625,4.607862135,5.004411292,4.84169585,4.856166362,4.716850757,4.812318625,4.607862135,5.004411292
"GJC1",10.02497242,9.930765001,10.01104953,10.18071,9.978537969,10.03498273,10.02497242,9.930765001,10.01104953,10.18071,9.978537969,10.03498273
"SEPT5-GP1BB",7.837777035,7.984737947,7.812096105,7.920094817,7.931069325,8.071435517,7.837777035,7.984737947,7.812096105,7.920094817,7.931069325,8.071435517
"AP1M2",6.804163635,6.993333661,6.658363878,6.820222753,6.783637267,6.886177824,6.804163635,6.993333661,6.658363878,6.820222753,6.783637267,6.886177824
"UBA2",10.81402995,10.74598916,10.835286,10.99766739,10.87737668,10.92279693,10.81402995,10.74598916,10.835286,10.99766739,10.87737668,10.92279693
"FARSB",11.88008862,11.55164434,11.89138273,11.956397,11.68179009,11.78605633,11.88008862,11.55164434,11.89138273,11.956397,11.68179009,11.78605633
"ABCC5",8.566738323,8.775102111,8.930528231,8.899721462,8.965301708,9.10070461,8.566738323,8.775102111,8.930528231,8.899721462,8.965301708,9.10070461
"ABCB6",8.356184063,8.42532571,8.369768747,8.185417015,8.245081862,8.174126962,8.356184063,8.42532571,8.369768747,8.185417015,8.245081862,8.174126962
"DNM1L",9.09036246,8.866779083,9.313235707,9.048407442,9.467558274,9.177666917,9.09036246,8.866779083,9.313235707,9.048407442,9.467558274,9.177666917
"CDH8",4.707269483,4.677143694,4.550707946,4.595427211,4.677158181,4.623507657,4.707269483,4.677143694,4.550707946,4.595427211,4.677158181,4.623507657
"ABCC9",4.346523401,4.390130115,4.351318057,4.368184495,4.321848314,4.305499981,4.346523401,4.390130115,4.351318057,4.368184495,4.321848314,4.305499981
"NR1H3",7.538295762,7.778448891,7.526499935,7.483012752,7.587841488,7.380129399,7.538295762,7.778448891,7.526499935,7.483012752,7.587841488,7.380129399
"SCAMP2",11.98598353,11.75723538,11.94464865,11.94952511,11.86852109,12.00864508,11.98598353,11.75723538,11.94464865,11.94952511,11.86852109,12.00864508
"SCAMP3",10.25700774,10.09075654,10.11834396,10.11641597,10.10980901,10.06002258,10.25700774,10.09075654,10.11834396,10.11641597,10.10980901,10.06002258
"IL18BP",8.361316969,8.455587377,8.610739715,8.258071501,8.542120856,8.612488003,8.361316969,8.455587377,8.610739715,8.258071501,8.542120856,8.612488003
"RWDD2B",9.870112243,9.963389562,10.1064142,9.796190862,9.749156474,9.878873642,9.870112243,9.963389562,10.1064142,9.796190862,9.749156474,9.878873642
"CDH9",4.72585429,4.698759478,4.669431129,4.721509632,4.40170144,4.646086054,4.72585429,4.698759478,4.669431129,4.721509632,4.40170144,4.646086054
"DPP3",11.26536584,11.17774654,11.14660212,11.21032864,11.18664975,11.24684819,11.26536584,11.17774654,11.14660212,11.21032864,11.18664975,11.24684819
"SNUPN",9.618077045,9.696016013,9.672417841,9.71690323,9.602682459,9.65621312,9.618077045,9.696016013,9.672417841,9.71690323,9.602682459,9.65621312
"PTPRU",7.990851943,7.979368381,7.616510222,8.104466797,7.843691243,7.947839641,7.990851943,7.979368381,7.616510222,8.104466797,7.843691243,7.947839641
"TSPAN32",8.06360428,8.242082028,7.98393821,8.1312421,8.11280627,8.14473122,8.06360428,8.242082028,7.98393821,8.1312421,8.11280627,8.14473122
"TSSC4",8.33293639,8.516411184,8.264764497,8.310308115,8.46769369,8.532200864,8.33293639,8.516411184,8.264764497,8.310308115,8.46769369,8.532200864
"CDH10",4.08003651,4.14468902,4.077097719,4.282854488,4.143376384,4.206461658,4.08003651,4.14468902,4.077097719,4.282854488,4.143376384,4.206461658
"PDCD7",9.546053528,9.782074736,9.679667891,9.543257401,9.493497733,9.493643174,9.546053528,9.782074736,9.679667891,9.543257401,9.493497733,9.493643174
"GPC6",5.908982069,6.005690384,5.794924863,5.841550814,5.768967338,5.798380785,5.908982069,6.005690384,5.794924863,5.841550814,5.768967338,5.798380785
"USH1C",6.513994215,6.649077739,6.424763582,6.582979985,6.506392152,6.544503096,6.513994215,6.649077739,6.424763582,6.582979985,6.506392152,6.544503096
"PQBP1",9.83765988,9.860519589,9.663832197,9.858962473,9.693065652,9.754703559,9.83765988,9.860519589,9.663832197,9.858962473,9.693065652,9.754703559
"EDIL3",10.75394963,10.6678532,11.02587185,10.8065884,10.64124751,10.76422071,10.75394963,10.6678532,11.02587185,10.8065884,10.64124751,10.76422071
"RNF185-AS1",5.452881804,4.871335193,4.944775499,5.413642076,5.230031812,5.26608917,5.452881804,4.871335193,4.944775499,5.413642076,5.230031812,5.26608917
"HHLA1",6.362062431,6.280290263,6.170995654,6.216685662,6.004541924,6.285332778,6.362062431,6.280290263,6.170995654,6.216685662,6.004541924,6.285332778
"PINK1-AS",8.492362105,8.410748881,8.980549587,8.582203501,8.29496809,8.402424987,8.492362105,8.410748881,8.980549587,8.582203501,8.29496809,8.402424987
"UPK1A-AS1",7.465855788,7.763143341,7.478429387,7.738322766,7.718949121,7.65115506,7.465855788,7.763143341,7.478429387,7.738322766,7.718949121,7.65115506
"CERT1",8.795662431,9.134619469,9.165582245,8.996288438,9.072192363,9.123062552,8.795662431,9.134619469,9.165582245,8.996288438,9.072192363,9.123062552
"MTUS2-AS1",5.880524138,5.949395595,5.755479216,5.703978255,5.732130183,5.975659998,5.880524138,5.949395595,5.755479216,5.703978255,5.732130183,5.975659998
"KCNK7",7.283628425,7.480918023,7.081943379,7.286574555,7.121584678,7.506974067,7.283628425,7.480918023,7.081943379,7.286574555,7.121584678,7.506974067
"CDH11",11.03474646,10.73888802,10.82631811,11.06106284,10.624981,10.85491428,11.03474646,10.73888802,10.82631811,11.06106284,10.624981,10.85491428
"ARPC5",11.41583153,11.4404094,11.37598009,11.49446364,11.39543674,11.3884428,11.41583153,11.4404094,11.37598009,11.49446364,11.39543674,11.3884428
"ARPC1B",12.7242586,12.84153028,12.45469571,12.76529947,12.74262482,12.59736713,12.7242586,12.84153028,12.45469571,12.76529947,12.74262482,12.59736713
"ACTR2",9.475308816,9.319299001,9.375619989,9.66735123,9.470695067,9.29055013,9.475308816,9.319299001,9.375619989,9.66735123,9.470695067,9.29055013
"TSPAN5",11.0854464,11.15980955,11.05536156,11.18018961,11.10663811,11.13490715,11.0854464,11.15980955,11.05536156,11.18018961,11.10663811,11.13490715
"TSPAN3",12.29436662,12.35258303,12.18394989,12.56454723,12.47188889,12.36743318,12.29436662,12.35258303,12.18394989,12.56454723,12.47188889,12.36743318
"LINC00269",5.385267123,5.377078006,5.275798423,5.379609663,5.399978403,5.388314431,5.385267123,5.377078006,5.275798423,5.379609663,5.399978403,5.388314431
"LOC100996294",4.047903385,4.49426555,4.511952384,3.463443345,4.097967657,4.1025815,4.047903385,4.49426555,4.511952384,3.463443345,4.097967657,4.1025815
"CEP72-DT",6.421268056,6.49887104,5.773268384,6.798393791,5.70717684,6.201518785,6.421268056,6.49887104,5.773268384,6.798393791,5.70717684,6.201518785
"LINC02724",6.848405741,6.796426998,6.671259337,6.658156689,6.809736461,6.84003303,6.848405741,6.796426998,6.671259337,6.658156689,6.809736461,6.84003303
"L1CAM-AS1",7.705625816,7.915105571,7.457128775,7.738821613,7.496594462,7.722191288,7.705625816,7.915105571,7.457128775,7.738821613,7.496594462,7.722191288
"LINC01356",8.890219848,8.921004185,8.654376151,8.715477072,8.696199042,8.864187291,8.890219848,8.921004185,8.654376151,8.715477072,8.696199042,8.864187291
"TSPAN2",5.182737783,5.09325982,4.92608361,5.111889051,4.86356251,4.959354658,5.182737783,5.09325982,4.92608361,5.111889051,4.86356251,4.959354658
"NUBP2",9.009560446,9.23455152,8.97079951,9.176383828,9.022700948,9.208172455,9.009560446,9.23455152,8.97079951,9.176383828,9.022700948,9.208172455
"TSFM",8.885990007,8.805002769,8.839569251,8.699570997,8.605729588,8.509051317,8.885990007,8.805002769,8.839569251,8.699570997,8.605729588,8.509051317
"TSPAN1",6.064145789,6.02603347,5.911794557,6.199361019,6.03700217,6.113524826,6.064145789,6.02603347,5.911794557,6.199361019,6.03700217,6.113524826
"PPIF",9.937030685,9.624178318,9.780740378,10.18840204,9.979109034,10.11852479,9.937030685,9.624178318,9.780740378,10.18840204,9.979109034,10.11852479
"LOC101060187",6.232487248,6.433508297,6.553125906,6.139510396,6.29036443,6.303325514,6.232487248,6.433508297,6.553125906,6.139510396,6.29036443,6.303325514
"TRIM10",6.141344171,6.391869359,6.016744271,6.344926237,6.074488888,6.365517998,6.141344171,6.391869359,6.016744271,6.344926237,6.074488888,6.365517998
"ARPC2",13.66184456,13.61260102,13.60081625,13.63832214,13.66079813,13.58711608,13.66184456,13.61260102,13.60081625,13.63832214,13.66079813,13.58711608
"SGK2",6.280255791,6.462292233,6.308365706,6.132764687,6.333475537,6.179947062,6.280255791,6.462292233,6.308365706,6.132764687,6.333475537,6.179947062
"KIF20A",11.67755593,11.13559807,11.22886373,11.11349297,10.68416153,10.70819842,11.67755593,11.13559807,11.22886373,11.11349297,10.68416153,10.70819842
"PREB",10.41692255,10.47657387,10.35982922,10.42016196,10.40835784,10.31928963,10.41692255,10.47657387,10.35982922,10.42016196,10.40835784,10.31928963
"HIPK3",9.699215758,9.658959172,9.782173359,10.45673518,10.6078262,10.37200625,9.699215758,9.658959172,9.782173359,10.45673518,10.6078262,10.37200625
"FEM1B",10.8673703,10.83523772,10.90977999,10.82772518,10.79744795,10.82724767,10.8673703,10.83523772,10.90977999,10.82772518,10.79744795,10.82724767
"CDH13",12.12018507,11.92953064,12.02269234,11.94087234,11.59079926,11.80647676,12.12018507,11.92953064,12.02269234,11.94087234,11.59079926,11.80647676
"ACTR1B",9.371000506,9.339574474,9.208795522,9.048902335,9.090130458,8.753868026,9.371000506,9.339574474,9.208795522,9.048902335,9.090130458,8.753868026
"ACTR1A",12.13642327,12.13661358,11.92649754,12.03534089,11.96596572,11.94787986,12.13642327,12.13661358,11.92649754,12.03534089,11.96596572,11.94787986
"ARL4C",9.01554444,8.800334897,8.968097757,9.063814919,8.911966862,9.016605212,9.01554444,8.800334897,8.968097757,9.063814919,8.911966862,9.016605212
"ARL4A",8.745422592,8.853979632,8.848742112,8.663950986,8.406131313,8.694764039,8.745422592,8.853979632,8.848742112,8.663950986,8.406131313,8.694764039
"DNAL4",8.168444682,8.398221208,8.248934234,8.028870991,8.48954808,8.283458583,8.168444682,8.398221208,8.248934234,8.028870991,8.48954808,8.283458583
"ZNF263",8.275366621,8.430246145,8.356924806,8.416462482,8.372165297,8.389838085,8.275366621,8.430246145,8.356924806,8.416462482,8.372165297,8.389838085
"LRPPRC",10.86545649,10.72020333,11.05019882,10.9176485,10.86948835,10.9350471,10.86545649,10.72020333,11.05019882,10.9176485,10.86948835,10.9350471
"FRY",8.81211194,8.802417624,8.946636464,8.427129493,8.425523397,8.570970825,8.81211194,8.802417624,8.946636464,8.427129493,8.425523397,8.570970825
"CDH15",7.746049858,7.90193835,7.536237299,7.629371689,7.813300505,7.798053885,7.746049858,7.90193835,7.536237299,7.629371689,7.813300505,7.798053885
"TRAP1",11.00471193,10.87612304,10.88079223,10.917421,10.66899123,10.92622133,11.00471193,10.87612304,10.88079223,10.917421,10.66899123,10.92622133
"OPTN",9.530903425,9.815960176,9.747113114,9.607164344,9.858124305,9.552153888,9.530903425,9.815960176,9.747113114,9.607164344,9.858124305,9.552153888
"BCAP31",12.47304898,12.46256448,12.54836127,12.75739312,12.62788492,12.77211875,12.47304898,12.46256448,12.54836127,12.75739312,12.62788492,12.77211875
"NAMPT",11.34557749,11.18649833,11.61401918,11.41125266,11.79607465,11.62096638,11.34557749,11.18649833,11.61401918,11.41125266,11.79607465,11.62096638
"YAF2",7.969491655,8.027929286,8.259374064,8.143154394,8.2599308,8.338363111,7.969491655,8.027929286,8.259374064,8.143154394,8.2599308,8.338363111
"ARFRP1",9.217805243,9.329818002,9.234602184,9.309555111,9.312181672,9.327011632,9.217805243,9.329818002,9.234602184,9.309555111,9.312181672,9.327011632
"CDH16",6.958935119,7.161446191,6.971452721,7.008138795,6.928068117,7.066584568,6.958935119,7.161446191,6.971452721,7.008138795,6.928068117,7.066584568
