"Feature","X_9444360021_A","X_9444360021_B","X_9444360021_C","X_9444360021_D","X_9444360021_E","X_9444360021_F","X_9444360021_G","X_9444360021_H","X_9444360021_I","X_9444360021_J","X_9444360021_K","X_9444360021_L","X_9444360049_A","X_9444360049_B","X_9444360049_C","X_9444360049_D","X_9444360049_E","X_9444360049_F","X_9444360049_G","X_9444360049_H","X_9444360049_I","X_9444360049_J","X_9444360049_K","X_9444360049_L"
"AANAT",4.19153868889864,4.23606555068462,4.25564563915053,4.25484177411512,4.18555100721813,4.44083704337791,4.19608939738962,4.24740577073305,4.1968054010676,4.2502674511267,4.18979002252632,4.27233309073828,4.28754061303205,4.23269945483391,4.21522482231308,4.19169532638241,4.26268801393583,4.32037115981911,4.19568281620782,4.17868497475241,4.24873925507675,4.41080786192549,4.22799027332594,4.26536253214821
"AARS1",10.887426715279,10.8744529219116,10.7974147807525,10.8409940427144,10.7392459751433,10.8789735168639,10.7044618536404,10.9344063605522,10.6738829986183,10.7911966146345,10.6867136837259,10.6496451779137,10.8425858685941,10.8359613741007,10.8528348889668,11.014839781964,10.9365150775695,10.8026979087948,10.7599919787372,10.9072253758025,10.8641730577391,10.9166133024461,10.7767275387234,10.7748932195808
"AARS2",7.24229849658335,7.29385255989611,7.59028893527395,8.11015575595629,8.2117857440932,8.17321785618448,7.13228301755873,7.44897464273043,7.27499703178982,7.83022315103779,7.88962923858274,7.83623296767287,7.6238492452361,7.40293892606238,7.29800305369769,8.08679840201122,7.99066991192067,8.09142308710862,7.50150356688141,7.48199924101237,7.26852024353071,8.1577667538007,8.22957874935843,8.1285731296426
"AARSD1",8.0819037345049,7.91948265697411,7.98104257313383,8.51223745527075,8.55707979256333,8.56394209076358,8.08891942979167,7.95254571903657,8.22385976893413,8.68253294606986,8.42886509643692,8.43307145156162,8.26001667409094,8.34566289697263,8.29271354517754,8.54806636549785,8.56394209076358,8.54747203215778,8.2808276330167,7.89789440057045,8.22035700243701,8.37451320697645,8.65063206945447,8.45268640509273
"AASDH",6.44369932702777,6.31831246812133,6.48092089890402,6.04306757319752,6.19852214233565,5.96866122063032,6.30396654749622,6.28843869520807,6.46243014933446,6.50382189245982,6.34876075058367,6.58185598317368,6.09666613671942,6.44549372905957,6.32207400596797,6.08577711650267,5.93260276019262,6.12316798610308,6.20916430579975,6.24356610397177,6.39528005774251,6.32192373260676,5.88457166463991,6.0399190158649
"AASDHPPT",6.6399400906979,6.77352068426581,6.43909961859688,6.78321336595578,6.84632312070004,6.86260853152139,6.67695269825352,6.72314565385477,6.48092089890402,7.05564134463362,6.99505773125809,7.07610039275501,6.61917711200645,6.04338660848067,6.54811174700192,6.96787188948697,7.07901545137631,7.160793406135,6.75156871440277,6.87144027440862,6.68123501121915,7.09723952143036,7.13129717313712,7.02753477014161
"AASS",6.1984402893503,6.04857242004826,6.23073635572302,5.09907080518258,5.5011035916521,5.55458283010796,6.22917466724261,6.54251227560049,6.40708657990464,5.46366077895502,5.79916740860217,5.42885483070078,6.08285353135296,5.96952485466496,6.12579589499579,5.33276109676598,5.52008993195272,5.39833104954183,6.18631582671273,6.6451745678394,6.04110623571065,6.04379669306244,5.84286802346247,5.81478986664834
"AATF",7.02407500641144,7.25750342437693,7.06543596940906,8.08482924307689,8.04613363864837,8.06855307875152,7.2168243332156,7.34070104375327,7.25429806264782,8.12155384842628,7.96188234023596,7.97769592514989,7.34741622278903,7.63002261816787,7.27025412613471,7.92030178561296,7.84200827688072,7.80520489520134,6.92377027704635,7.35622973276722,7.45522247194396,7.84877789260277,7.78438788543753,7.75897107725325
"AATK",5.16554823574515,4.51906677515222,4.9336972037707,4.58108790801857,5.17789888562081,5.05631831825694,4.88982916876112,4.70962657902296,4.70428976852595,5.01458639281846,4.49335838654823,4.97123152478127,4.79615063603797,4.63449953270852,4.7254523037643,4.88721267205567,4.3490965680068,4.61745638003289,4.54919248418554,4.98582151835842,4.57797586648313,4.51131146028951,4.59730718653205,4.62982280585997
"ABAT",4.3656973411356,4.52719587714634,4.59799397552445,4.36977389852076,4.34554541455124,4.30082908426116,4.56805796899394,4.4467444580532,4.39244641315166,4.44635436863142,4.60605567489041,4.88682789143903,4.2193178056869,4.37003467502738,4.58940176452578,4.36193099133066,4.36868047194538,4.71734257036684,4.50412305072682,4.64533501457211,4.63920884646002,4.36203511715194,4.33124086270484,4.3548506685073
