"Feature","HUVEC_scr_siRNA_1.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL"
"ZNHIT1",8.030191213,8.31315399,8.14363471,8.184461234,8.164725732,8.168850143,8.12706674,8.169528236,8.135554857,8.354926821,8.164115962,8.17808785
"FST",5.634999172,5.386508149,5.117922092,5.355143917,5.427146698,5.458594709,5.121401347,5.256429495,5.334101663,5.923478807,6.024331574,5.836377331
"TIMM44",8.282479935,8.141612107,7.988494021,8.228615519,8.269160207,8.095639283,7.985580407,8.0327256,8.108472243,8.247480461,8.228817869,8.069905693
"CLGN",4.487212039,5.181105407,4.789241605,4.893839697,5.245192914,5.39700124,4.622321287,4.099014229,4.923777982,5.232676509,4.435453214,4.951490515
"PFDN6",7.58735656,7.560436711,7.478446958,7.609898793,7.610235124,7.47961444,7.425191207,7.597593761,7.4695342,7.706967079,7.61045006,7.553219948
"ZBTB18",7.125101358,7.221288764,7.351386404,7.300084256,7.318401967,7.553194592,7.05196692,7.03062577,7.280611893,7.429984576,6.781845949,7.125587907
"HMGN4",7.382636247,6.759106429,6.870637238,6.854752086,7.217079153,6.95790156,7.083151055,6.989551332,7.016911448,7.185633653,7.414271597,7.06672271
"TADA3",8.67986758,8.556460627,8.785878166,8.668919031,8.679963838,8.487045182,8.581247298,8.575785666,8.520938919,8.736688688,8.752626686,8.51342011
"TRIM38",8.565942757,8.823987714,8.9166963,8.923185864,8.603175523,8.761491537,8.984170461,8.918797965,8.915271005,8.692889451,8.453462403,8.560528777
"ATP5PD",9.661189082,9.811363223,9.863392067,9.776444632,9.823524807,9.662531664,9.840890406,9.858950344,9.834746192,9.840762957,9.821009178,9.765356386
"UBE2E3",5.793644672,5.966400383,6.216406108,6.188352319,6.126333505,5.979686485,6.048607783,5.994269313,6.044299968,6.066080546,6.012891092,5.945708037
"SLC25A17",6.299801403,6.449567882,6.306749011,6.444109267,6.292912211,6.234939574,5.958915297,6.428884774,6.12969848,6.518360256,6.419674369,6.357860715
"SLC9A6",9.31256659,9.186136449,9.362905939,9.290291453,9.401339792,9.296575459,9.229755195,9.221149356,9.307932427,9.339798649,9.239653993,9.225704218
"GACAT3",3.337768307,3.082297035,3.235176231,3.286189142,3.175329532,3.188102753,3.502945863,3.347214155,3.314602346,3.099591331,3.291021182,3.554518472
