genes,aliases
ABCA5,"['ATP-binding cassette, sub-family A (ABC1), member 5', 'EC 3.6.3.25', 'ABC13', 'Cholesterol transporter ABCA5', 'KIAA1888']"
ABCA6,"['ATP-binding cassette, sub-family A (ABC1), member 6', 'EST155051', 'ATP-binding cassette A6', 'EC 2.5.1.19']"
ABCA7,"['ATP-binding cassette, sub-family A (ABC1), member 7', 'ABCA-SSN', 'Autoantigen SS-N', 'AD9', 'Phospholipid-transporting ATPase ABCA7', 'EC 3.6.3.41']"
ABCA8,"['ATP-binding cassette, sub-family A (ABC1), member 8', 'KIAA0822', 'ATP-binding cassette sub-family A member 8', 'EC 3.6.3.41']"
ABCA9,"['ATP-binding cassette, sub-family A (ABC1), member 9', 'EST640918', 'EC 3.6.3.41']"
ABCB1,"['ATP-binding cassette, sub-family B (MDR/TAP), member 1', 'GP170', 'CD243 antigen', 'ABC20', 'Multidrug resistance protein 1', 'doxorubicin resistance', 'CLCS', 'MDR1', 'ATP-binding cassette sub-family B member 1', 'ATP-dependent translocase ABCB1', 'EC 3.6.3.44']"
ABCB10,"['ATP-binding cassette sub-family B member 10, mitochondrial', 'EST20237', 'M-ABC2', 'ABC-mitochondrial erythroid protein', 'Mitochondrial ATP-binding cassette 2', 'EC 3.6.3.44']"
ABCB11,"['ATP-binding cassette, sub-family B (MDR/TAP), member 11', 'ABC16', 'EC 7.6.2.-', 'PGY4', 'ATP-binding cassette sub-family B member 11', 'progressive familial intrahepatic cholestasis 2', 'Bile salt export pump', 'PFIC-2', 'sister p-glycoprotein', 'EC 3.6.3.44']"
ABCB4,"['ATP-binding cassette, sub-family B (MDR/TAP), member 4', 'MDR2/3', 'EC 3.6.3', 'ABC21', 'PFIC-3', 'ICP3', 'Phosphatidylcholine translocator ABCB4', 'P-glycoprotein-3/multiple drug resistance-3', 'EC 3.6.3.44']"
ABCB5,"['ATP-binding cassette, sub-family B (MDR/TAP), member 5', 'EST422562', 'ABCB5 P-gp', 'ATP-binding cassette protein', 'EC 3.6.3.44']"
ABCB6,"['ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)', 'EST45597', 'UMAT', 'Mt-ABC transporter 3', 'MTABC3', 'PRP', 'Ubiquitously-expressed mammalian ABC half transporter', 'P-glycoprotein-related protein', 'EC 7.6.2.5']"
ABCB7,"['ATP-binding cassette sub-family B member 7, mitochondrial', 'EST140535', 'Atm1p', 'ABC7', 'Iron-sulfur clusters transporter ABCB7, mitochondrial', 'EC 3.6.3.42']"
