genes,aliases
ERCC6,"['excision repair cross-complementing rodent repair deficiency, complementation group 6', 'CSB-PGBD3', 'RAD26', 'ARMD5', 'DNA excision repair protein ERCC-6', 'CKN2', 'COFS1', 'Chimeric CSB-PGBD3 protein', 'UVSS1', 'ERCC excision repair 6, chromatin remodeling factor', 'excision repair cross-complementation group 6', 'EC 3.6.4.-']"
ERCC6L,"['excision repair cross-complementing rodent repair deficiency complementation group 6 - like', 'FLJ20105', 'RAD26L', 'ERCC excision repair 6 like, spindle assembly checkpoint helicase', 'DNA excision repair protein ERCC-6-like', 'Tumor antigen BJ-HCC-15', 'EC 3.6.4.12']"
ERCC6L2,"['excision repair cross-complementing rodent repair deficiency, complementation group 6-like 2', 'FLJ37706', 'RAD26L', 'excision repair cross-complementation group 6 like 2', 'BMFS2', 'C9orf102', 'SR278', 'DNA repair and recombination protein RAD26-like', 'EC 3.6.4.-']"
ERCC8,"['excision repair cross-complementing rodent repair deficiency, complementation group 8', 'Cockayne syndrome WD repeat protein CSA', 'CKN1', 'UVSS2']"
EREG,"['Proepiregulin', 'EPR', 'epiregulin']"
ERF,"['ETS domain-containing transcription factor ERF', 'PE-2', 'CHYTS']"
ERFE,"['Erythroferrone', 'FLJ37034', 'C1QTNF15', 'Myonectin', 'family with sequence similarity 132, member B', 'protein FAM132B', 'Complement C1q tumor necrosis factor-related protein 15']"
ERFL,"['ETS domain-containing transcription factor ERF-like', 'erfl1']"
ERG,"['erythroblast transformation-specific transcription factor ERG variant 10', 'erg-3', 'p55', 'TMPRSS2-ERG prostate cancer specific', 'v-ets erythroblastosis virus E26 oncogene homolog', 'v-ets avian erythroblastosis virus E26 oncogene homolog', 'transcriptional regulator ERG (transforming protein ERG)', 'Transcriptional regulator ERG']"
ERG28,"['probable ergosterol biosynthetic protein 28', 'NET51', 'chromosome 14 open reading frame 1', 'C14orf1']"
ERGIC1,"['endoplasmic reticulum-golgi intermediate compartment 32 kDa protein', 'ERGIC-32', 'KIAA1181', 'NET24', 'AMC2']"
ERGIC2,"['ERGIC and golgi 2', 'PTX1', 'ERV41', 'CD14 protein', 'cd002', 'Endoplasmic reticulum-Golgi intermediate compartment protein 2']"
ERGIC3,"['ERGIC and golgi 3', 'SDBCAG84', 'PRO0989', 'NY-BR-84', 'ERV46', 'Endoplasmic reticulum-Golgi intermediate compartment protein 3', 'chromosome 20 open reading frame 47', 'C20orf47', 'dJ477O4.2']"
ERH,"['ERH mRNA splicing and mitosis factor', 'DROER', 'enhancer of rudimentary (Drosophila) homolog']"
ERI1,"['enhanced RNAi three prime mRNA exonuclease homolog 1', ""3' exoribonuclease"", 'enhanced RNAi three prime mRNA exonuclease homolog 1 (C.elegans)', ""Protein 3'hExo"", ""Histone mRNA 3'-end-specific exoribonuclease"", ""Histone mRNA 3'-exonuclease 1"", 'EC 3.1.-.-']"
ERI2,"['enhanced RNAi three prime mRNA exonuclease homolog 2 (C.elegans)', 'KIAA1504', 'MGC16943', 'ZGRF5', 'enhanced RNAi three prime mRNA exonuclease homolog 2', 'Exonuclease domain-containing protein 1', 'EXOD1', 'EC 3.1.-.-']"
ERI3,"['enhanced RNAi three prime mRNA exonuclease homolog 3 (C.elegans)', 'FLJ22943', 'Prion interactor 1', 'enhanced RNAi three prime mRNA exonuclease homolog 3', 'Prion protein-interacting protein', 'PRNPIP1', 'EC 3.1.-.-']"
ERICH1,"['Glutamate-rich protein 1', 'HSPC319']"
ERICH2,['Glutamate-rich protein 2']
ERICH3,"['Glutamate-rich protein 3', 'DKFZp547I048', 'RP11-653A5.1', 'chromosome 1 open reading frame 173', 'C1orf173']"
ERICH4,"['Glutamate-rich protein 4', 'LOC100170765', 'chromosome 19 open reading frame 69', 'C19orf69']"
ERICH5,"['Glutamate-rich protein 5', 'FLJ39553', 'chromosome 8 open reading frame 47', 'C8orf47']"
ERICH6,"['Glutamate-rich protein 6', 'MGC39662', 'glutamate-rich 6A', 'chromosome 3 open reading frame 44', 'family with sequence similarity 194, member A', 'C3orf44', 'Protein FAM194A']"
ERICH6B,"['Glutamate-rich protein 6B', 'FLJ32682', 'family with sequence similarity 194, member B', 'Protein FAM194B']"
ERLEC1,"['Endoplasmic reticulum lectin 1', 'C2orf30', 'XTP3TPB', 'chromosome 2 open reading frame 30', 'HEL117', 'XTP3-transactivated gene B protein', 'cancer invasion and metastasis-related']"
ERLIN1,"['Endoplasmic reticulum lipid raft-associated protein 1', 'Protein KE04', 'SPG62', 'Band_7 23-211 Keo4 (Interim) similar to C.elegans protein C42C1.9', 'chromosome 10 open reading frame 69', 'SPFH domain-containing protein 1', 'C10orf69', 'KE04', 'SPFH1', 'Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1']"
ERLIN2,"['Endoplasmic reticulum lipid raft-associated protein 2', 'NET32', 'Erlin-2', 'chromosome 8 open reading frame 2', 'C8orf2', 'SPFH2', 'SPG18', 'Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2']"
ERMAP,"['erythroblast membrane-associated protein (RD and SC blood groups)', 'BTN5', 'PRO2801', 'SC', 'erythroblast membrane associated protein (Scianna blood group)', 'Scianna blood group antigen', 'hERMAP']"
ERMARD,"['Endoplasmic reticulum membrane-associated RNA degradation protein', 'FLJ11152', 'dJ266L20.3', 'ER membrane-associated RNA degradation protein', 'C6orf70', 'PVNH6']"
ERMN,"['JN', 'Juxtanodin', 'KIAA1189', 'ermin, ERM-like protein']"
ERMP1,"['Endoplasmic reticulum metallopeptidase 1', 'FLJ23309', 'Felix-ina', 'KIAA1815', 'bA207C16.3', 'EC 3.4.-.-']"
ERN1,"['Endoplasmic reticulum-to-nucleus signaling 1', 'Ire1-alpha', 'Serine/threonine-protein kinase/endoribonuclease IRE1', 'EC 2.7.11']"
ERN2,"['endoplasmic reticulum to nucleus signalling 2', 'IRE1 beta', 'inositol-requiring 1 beta', 'hIRE2p', 'Serine/threonine-protein kinase/endoribonuclease IRE2', 'IRE1, S. cerevisiae, homolog of', 'Endoplasmic reticulum-to-nucleus signaling 2', 'EC 2.7.11']"
ERO1A,"['endoplasmic reticulum oxidoreductase 1 alpha', 'ERO1-like (S. cerevisiae)', 'ERO1-like protein alpha', 'ERO1 (S. cerevisiae)-like', 'ERO1-L-alpha', 'EC 1.8.4.-']"
ERO1B,"['Endoplasmic reticulum oxidoreductin-1-like protein B', 'ERO1-like beta (S. cerevisiae)', 'ERO1-like protein beta', 'ERO1-L(beta)']"
ERP27,"['Endoplasmic reticulum resident protein 27', 'FLJ32115', 'PDIA8', 'protein disulfide isomerase family A, member 8', 'chromosome 12 open reading frame 46', 'C12orf46', 'ER protein 27']"
ERP29,"['endoplasmic reticulum lumenal protein ERp28', 'ERP28', 'PDI-DB', 'protein disulfide isomerase family A, member 9', 'chromosome 12 open reading frame 8', 'C12orf8', 'HEL-S-107']"
ERP44,"['thioredoxin domain containing 4 (endoplasmic reticulum)', 'KIAA0573', 'protein disulfide isomerase family A, member 10', 'TXNDC4', 'endoplasmic reticulum resident protein 44 kDa', 'ER protein 44']"
ERRFI1,"['receptor-associated late transducer', 'MIG-6', 'GENE-33', 'RALT', 'Mitogen-inducible gene 6 protein']"
ERV3-1,"['endogenous retroviral sequence 3 (includes zinc finger protein H-plk/HPF9)', 'H-PLK', 'HERV-R envelope protein', 'HERV-R', 'Endogenous retrovirus group 3 member 1 Env polyprotein']"
ERV3-1-ZNF117,"['ERV3-1-ZNF117 readthrough', 'h-PLK', 'zinc finger protein HPF9', 'provirus-linked krueppel']"
ERVFC1,"['HERV-F(c)1_Xq21.33 provirus ancestral Env polyprotein', 'HERV-Fc1env']"
ERVFC1-1,"['Endogenous retrovirus group FC1 member 1 Env polyprotein', 'FLJ42291', 'envF(c)2', 'TCONS_l2_00027524', 'Fc2deltaenv']"
ERVFRD-1,"['endogenous retrovirus group FRD member 1, envelope', 'HERV-W/FRD', 'Syncytin-2', 'GLLL6191', 'HERV-FRD_6p24.1 provirus ancestral Env polyprotein']"
ERVH48-1,"['endogenous retrovirus group 48, member 1', 'Suppressyn', 'chromosome 21 open reading frame 105', 'NDUFV3 antisense RNA 1 (non-protein coding)', 'C21orf105', 'NDUFV3 antisense RNA 1', 'HERV-Fb1']"
ERVK-10,"['Endogenous retrovirus group K member 10 Gag polyprotein', 'Gag polyprotein', 'HERV-K107 Gag protein', 'EC 3.4.23.50']"
ERVK-11,"['Endogenous retrovirus group K member 11 Pol protein', 'c3_E', 'N8.4', 'env protein']"
ERVK-16,"['Endogenous retrovirus group K member 16 Rec protein', 'c10_A.', 'M3.8']"
ERVK-18,"['Endogenous retrovirus group K member 18 Env polyprotein', 'c1_C', 'HERV-K110 envelope protein', 'IDDMK1,2 22 envelope protein', 'Proteinase', 'HERV-K(C1a) Pol protein', 'HERV-K_1q23.3 provirus ancestral Env polyprotein', 'EC 3.4.23.50']"
ERVK-19,"['Endogenous retrovirus group K member 19 Env polyprotein', 'P1.8', 'HERV-K(C19) envelope protein', 'EnvK3 protein', 'Gag polyprotein', 'HERV-K(C19) Gag protein', 'Endogenous retrovirus group K member 19 Gag polyprotein', 'HERV-K_19q11 provirus Rec protein', 'EC 3.4.23.50']"
ERVK-21,"['Endogenous retrovirus group K member 21 Env polyprotein', 'c12_A', 'EnvK1 protein', 'Envelope polyprotein', 'Gag polyprotein', 'Endogenous retrovirus group K member 21 Gag polyprotein', 'Endogenous retrovirus group K member 21 Pro protein', 'EC 3.4.23.50']"
ERVK-24,"['Endogenous retrovirus group K member 24 Env polyprotein', 'c22_A', 'HERV-K101 envelope protein', 'Gag polyprotein', 'HERV-K101 Gag protein', 'Endogenous retrovirus group K member 24 Gag polyprotein', 'Endogenous retrovirus group K member 24 Np9 protein', 'EC 3.4.23.50']"
ERVK-25,"['Endogenous retrovirus group K member 25 Env polyprotein', 'c11_A', 'Proteinase', 'Envelope polyprotein', 'EC 3.4.23.50']"
ERVK-5,"['Endogenous retrovirus group K member 5 Env polyprotein', 'HERV-K_3q12.3 provirus Np9 protein', 'HERV-K(II)', 'HERV-K(II) envelope protein']"
ERVK-6,"['Endogenous retrovirus group K member 6 Env polyprotein', 'HERV-K(HML-2.HOM) envelope protein', 'HERV-K108 envelope protein', 'HERV-K(HML-2.HOM) Rec protein', 'EnvK2 protein', 'HERV-K(C7)', 'c-orf', 'Endogenous retrovirus group K member 6 Pol protein', 'HERV-K(HML-2.HOM) Gag protein', 'HERV-K_7p22.1 provirus ancestral Pol protein', 'Endogenous retrovirus group K member 6 Gag polyprotein', 'endogenous retrovirus group K member 6', 'Rev-like protein', 'HERV-K(C7) Gag protein', 'HERV-K (HML-2.HOM)', 'EC 3.4.23.50']"
ERVK-7,"['Endogenous retrovirus group K member 7 Env polyprotein', 'HERV-K_1q22 provirus Np9 protein', 'HERV-K102 envelope protein', 'HERV-K(III)', 'HERV-K(III) envelope protein', 'Endogenous retrovirus group K member 7 Gag polyprotein', 'Endogenous retrovirus group K member 7 Np9 protein', 'Gag polyprotein', 'HERV-K(III) Gag protein', 'EC 3.4.23.50']"
ERVK-8,"['Endogenous retrovirus group K member 8 Env polyprotein', 'HERV-K115 envelope protein', 'EnvK6 protein', 'HERV-K115', 'Gag polyprotein', 'HERV-K115 Gag protein', 'Endogenous retrovirus group K member 8 Gag polyprotein', 'Endogenous retrovirus group K member 8 Pol protein', 'HERV-K_8p23.1 provirus Rec protein', 'EC 3.4.23.50']"
ERVK-9,"['Endogenous retrovirus group K member 9 Env polyprotein', 'Gag polyprotein', 'HERV-K(C6) Gag protein', 'HERV-K_6q14.1 provirus ancestral Pro protein', 'Endogenous retrovirus group K member 9 Gag polyprotein', 'EC 3.4.23.50']"
ERVK11-1,['Putative endogenous retrovirus group K member 11-1 Env polyprotein']
ERVK3-1,"['endogenous retrovirus group K3, member 1', 'HERV-K(HML6-1)', 'NONHSAG026716.2', 'lnc-ZNF8-4', 'HCG2043597, isoform CRA_a', 'cDNA FLJ30306 fis, clone BRACE2003319', 'LOC113386 protein']"
ERVMER34-1,"['Human endogenous MER34 (medium-reiteration-frequency-family-34) open reading frame', 'Human endogenous MER34 ORF', 'Endogenous retrovirus group MER34 member 1 Env polyprotein', 'HEMO', 'LP9056 protein']"
ERVPABLB-1,"['Endogenous retrovirus group PABLB member 1 Env polyprotein', 'envR(b)']"
ERVS71-1,"['Endogenous retrovirus group S71 member 1 Env polyprotein', 'envT']"
ERVV-1,"['Endogenous retrovirus group V member 1 Env polyprotein', 'FLJ32214', 'HERV-V1', 'HERV-V_19q13.41 provirus ancestral Env polyprotein 1']"
ERVV-2,"['Endogenous retrovirus group V member 2 Env polyprotein', 'HERV-V2', 'HERV-V_19q13.41 provirus ancestral Env polyprotein 2']"
ERVW-1,"['human endogenous retrovirus W envC7-1 envelope protein', 'HERV-W Env glycoprotein', 'HERV-tryptophan envelope protein', 'HERV-W-ENV', 'HERV-7q Envelope protein', 'Envelope polyprotein gPr73', 'Syncytin-1', 'HERV-W{7q21.1} provirus ancestral Env polyprotein']"
ESA4,['esterase A4']
ESAM,"['Endothelial cell-selective adhesion molecule', 'W117m', '2310008D05Rik', 'HUEL (C4orf1)-interacting protein']"
ESB3,['esterase B3']
ESCO1,"['establishment of sister chromatid cohesion N-acetyltransferase 1', 'ESO1 homolog 1', 'EFO1p', 'KIAA1911', 'A930014I12Rik', 'ECO1 homolog 1', 'Establishment of cohesion 1 homolog 1', 'establishment of cohesion 1 homolog 1 (S. cerevisiae)']"
ESCO2,"['establishment of sister chromatid cohesion N-acetyltransferase 2', 'EFO2p', 'Roberts syndrome', '2410004I17Rik', 'RBS', 'establishment of cohesion 1 homolog 2 (S. cerevisiae)', 'EC 2.3.1.-']"
ESD,"['esterase D/formylglutathione hydrolase', 'Methylumbelliferyl-acetate deacetylase', 'FGH', 'esterase 10', 'testicular tissue protein Li 66', 'EC 3.1.1.56']"
ESF1,"['ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)', 'bA526K24.1', 'chromosome 20 open reading frame 6', 'ABTAP', 'C20orf6', 'HDCMC28P', 'ESF1 homolog', 'ABT1-associated protein']"
ESM1,"['Endothelial cell-specific molecule 1', 'endocan', 'ESM-1']"
ESPL1,"['extra spindle pole bodies homolog 1 (S. cerevisiae)', 'KIAA0165', 'ESP1', 'Separase', 'separin, cysteine protease', 'extra spindle pole bodies like 1, separase', 'EC 3.4.22.49']"
ESPN,"['Espin', 'Autosomal recessive deafness type 36 protein', 'DFNB36', 'LP2654', 'USH1M']"
ESPNL,"['Espin-like protein', 'FLJ42568']"
ESR1,"['Nuclear receptor subfamily 3 group A member 1', 'NR3A1', 'ER-alpha', 'estrogen nuclear receptor alpha', 'ESTRR', 'estrogen receptor 1', 'estrogen receptor alpha E1-N2-E2-1-2']"
ESR2,"['estrogen receptor beta splice variant, ERbeta2delta7', 'NR3A2', 'ESR-BETA', 'estrogen receptor beta 2', 'estrogen receptor 2 (ER beta)', 'ODG8']"
ESRP1,"['Epithelial splicing regulatory protein 1', 'FLJ20171', 'DFNB109', 'RBM35A']"
ESRP2,"['Epithelial splicing regulatory protein 2', 'FLJ21918', 'RBM35B']"
ESRRA,"['Nuclear receptor subfamily 3 group B member 1', 'ERR-alpha', 'Estrogen-related receptor alpha', 'NR3B1']"
ESRRB,"['estrogen-related nuclear receptor beta', 'ERR beta-2', 'ERRbeta2', 'deafness, autosomal recessive 35', 'DFNB35', 'Steroid hormone receptor ERR2', 'Nuclear receptor subfamily 3 group B member 2', 'Estrogen-related receptor beta']"
ESRRG,"['Nuclear receptor subfamily 3 group B member 3', 'NR3B3', 'ERR gamma-2', 'Estrogen-related receptor gamma', 'ERR-gamma', 'KIAA0832']"
ESS2,"['Splicing factor ESS-2 homolog', 'DGS-H', 'ESS-2', 'Protein ES2', 'bis1', 'DiGeorge syndrome critical region gene DGSI', 'Protein DGCR13', 'DiGeorge syndrome protein H']"
ESX1,"['Extraembryonic, spermatogenesis, homeobox 1', 'ESX homeobox 1', 'extraembryonic, spermatogenesis, homeobox 1 homolog (mouse)', 'Homeobox protein ESX1']"
ESYT1,"['extended synaptotagmin like protein 1', 'MBC2', 'KIAA0747', 'family with sequence similarity 62 (C2 domain containing), member A', 'Membrane-bound C2 domain-containing protein', 'FAM62A', 'E-Syt1']"
ESYT2,"['extended synaptotagmin like protein 2', 'KIAA1228', 'chr2 synaptotagmin', 'family with sequence similarity 62 (C2 domain containing), member B', 'CHR2SYT', 'FAM62B']"
ESYT3,"['extended synaptotagmin-like protein 3', 'chr3 synaptotagmin', 'family with sequence similarity 62 (C2 domain containing), member C', 'CHR3SYT', 'FAM62C']"
ETAA1,"[""Ewing's tumor-associated antigen 16"", 'ETAA16']"
ETDA,['Embryonic testis differentiation protein homolog A']
ETDB,"['Embryonic testis differentiation protein homolog B-like', 'ETDA', 'LINC00633']"
ETDC,['Embryonic testis differentiation protein homolog C']
ETF1,"['Eukaryotic peptide chain release factor subunit 1', 'ERF1', 'TB3-1', 'sup45 (yeast omnipotent suppressor 45) homolog-like 1', 'D5S1995', 'SUP45L1', 'Protein Cl1']"
ETFA,"['Electron transfer flavoprotein subunit alpha, mitochondrial', 'GA2', 'glutaric aciduria II', 'Alpha-ETF', 'epididymis secretory sperm binding protein']"
ETFB,"['electron-transferring-flavoprotein, beta polypeptide', 'FP585', 'Beta-ETF']"
ETFBKMT,"['Electron transfer flavoprotein beta subunit lysine methyltransferase', 'DKFZp451L235', 'MGC50559', 'Protein N-lysine methyltransferase METTL20', 'C12orf72', 'ETFB-KMT', 'methyltransferase like 20', 'EC 2.1.1.-']"
ETFDH,"['Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial', 'ETF-QO', 'mutant electron transfer flavoprotein dehydrogenase', 'ETF dehydrogenase', 'EC 1.5.5.1']"
ETFRF1,"['Electron transfer flavoprotein regulatory factor 1', 'LYR motif-containing protein 5', 'LYRM5']"
ETHE1,"['Persulfide dioxygenase ETHE1, mitochondrial', 'YF13H12', 'HSCO', 'Ethylmalonic encephalopathy protein 1', 'EC 1.13.11.18']"
ETNK1,"['Ethanolamine kinase 1', 'EKI 1', 'Nbla10396', 'putative protein product of Nbla10396', 'EC 2.7.1.82']"
ETNK2,"['Ethanolamine kinase-like protein', 'FLJ10761', 'EKI 2', 'EC 2.7.1.82']"
ETNPPL,"['Alanine--glyoxylate aminotransferase 2-like 1', 'AGXT2L1', 'EC 2.6.1.11']"
ETS1,"['v-ets avian erythroblastosis virus E2 oncogene homolog 1', 'FLJ10768', 'Protein C-ets-1', 'Avian erythroblastosis virus E26 (v-ets) oncogene homolog-1', 'ETS proto-oncogene 1, transcription factor', 'EWSR2', 'p54']"
ETS2,"['v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)', 'ETS2IT1', 'Protein C-ets-2', 'ETS proto-oncogene 2, transcription factor']"
ETV1,"['ETS variant transcription factor 1', 'ER81']"
ETV2,"['ETS variant transcription factor 2', 'ETSRP71', 'Ets-related protein 71']"
ETV3,"['ets variant gene 3, ETS family transcriptional repressor', 'PE-1', 'ETS variant transcription factor 3', 'ETS domain transcriptional repressor PE1']"
ETV3L,"['ETS translocation variant 3-like protein', 'FLJ16478']"
ETV4,"['ets variant gene 4 (E1A enhancer-binding protein, E1AF)', 'E1A-F', 'Protein PEA3', 'ETS variant transcription factor 4', 'Polyomavirus enhancer activator 3 homolog']"
ETV5,"['ets variant gene 5 (ets-related molecule)', 'ERM']"
ETV6,"['ETS variant transcription factor 6', 'TEL/ABL', 'ets variant gene 6 (TEL oncogene)', 'TEL oncogene', 'THC5', 'TEL1 oncogene']"
ETV7,"['ETS variant transcription factor 7', 'TEL2 oncogene', 'ets variant gene 7 (TEL2 oncogene)', 'TEL-2']"
EVA1A,"['eva-1 homolog A, regulator of programmed cell death', 'FLJ13391', 'Transmembrane protein 166', 'family with sequence similarity 176, member A', 'Protein FAM176A']"
EVA1B,"['eva-1 homolog B (C. elegans)', 'FLJ10647', 'chromosome 1 open reading frame 78', 'family with sequence similarity 176, member B', 'C1orf78', 'Protein FAM176B']"
EVA1C,"['eva-1 homolog C (C. elegans)', 'B18', 'PRED34', 'chromosome 21 open reading frame 63', 'family with sequence similarity 176, member C', 'C21orf63', 'Protein FAM176C', 'SUE21', 'Protein eva-1 homolog C']"
EVC,"['EvC ciliary complex subunit 1', 'DWF-1', 'EVC1', 'Ellis-van Creveld syndrome protein']"
EVC2,"['EvC ciliary complex subunit 2', 'Limbin', 'Ellis-van Creveld syndrome protein 2']"
EVI2A,"['Ecotropic viral integration site 2A protein homolog', 'EVI-2A', 'Protein EVI2A', 'ecotropic viral integration site 2A']"
EVI2B,"['Ecotropic viral integration site 2B protein homolog', 'D17S376', 'EVI-2B', 'CD361 antigen', 'ecotropic viral integration site 2B', 'Protein EVI2B']"
EVI5,"['Ecotropic viral integration site 5 protein homolog', 'NB4S', 'Neuroblastoma stage 4S gene protein', 'EVI-5']"
EVI5L,['Ecotropic viral integration site 5-like protein']
EVL,"['Ena/vasodilator-stimulated phosphoprotein-like', 'RNB6']"
EVPL,"['Envoplakin', '210 kDa cornified envelope precursor protein', 'p210']"
EVPLL,['Envoplakin-like protein']
EVX1,"['eve, even-skipped homeobox homolog 1 (Drosophila)', 'EVX-1']"
EVX2,"['even-skipped homeo box 2 (homolog of Drosophila eve)', 'EVX-2']"
EWSR1,"['Ewing sarcoma breakpoint region 1 protein', 'EWS-FLI1', 'bK984G1.4', 'Ewings sarcoma EWS-Fli1 (type 1) oncogene']"
EXD1,"[""Exonuclease 3'-5' domain-like-containing protein 1"", 'MGC33637', 'EXDL1', ""exonuclease 3'-5' domain containing 1""]"
EXD2,"[""Exonuclease 3'-5' domain-like-containing protein 2"", 'FLJ10738', 'chromosome 14 open reading frame 114', 'C14orf114', 'EXDL2', ""exonuclease 3'-5' domain containing 2"", 'EC 3.1.11.1']"
EXD3,"[""Exonuclease 3'-5' domain-containing protein 3"", 'LOC54932', 'FLJ20433', 'mut-7', 'Nbr', 'Exonuclease mut-7 homolog', 'EC 3.1.-.-']"
EXO1,"['Exonuclease 1', 'hExo1', 'Exonuclease I', 'rad2 nuclease family member, homolog of S. cerevisiae exonuclease 1']"
EXO5,"['probable exonuclease V', 'FLJ21144', 'chromosome 1 open reading frame 176', 'defects in morphology 1 homolog (S. cerevisiae)', 'C1orf176', 'DEM1', 'Exonuclease V', 'exonuclease 5', 'EC 3.1.-.-']"
EXOC1,"['Exocyst complex component Sec3', 'SEC3-like 1', 'FLJ10893', 'BM-102', 'SEC3-like 1 (S. cerevisiae)']"
EXOC1L,['exocyst complex component 1 pseudogene']
EXOC2,"['Exocyst complex component Sec5', 'FLJ11026', 'SEC5-like 1', 'SEC5-like 1 (S. cerevisiae)', 'NEDFACH']"
EXOC3,"['Exocyst complex component Sec6', 'Sec 6 homolog', 'SEC6-like 1 (S. cerevisiae)']"
EXOC3L1,"['Exocyst complex component 3-like protein', 'FLJ35539', 'EXOC3L', 'Protein Jiangli']"
EXOC3L2,"['Exocyst complex component 3-like protein 2', 'FLJ36147', 'XTP7', 'protein 7 transactivated by hepatitis B virus X antigen (HBxAg)']"
EXOC3L4,"['Exocyst complex component 3-like protein 4', 'SEC6-like protein C14orf73']"
EXOC4,"['Exocyst complex component Sec8', 'KIAA1699', 'MGC27170', 'SEC8-like 1', 'SEC8-like 1 (S. cerevisiae)']"
EXOC5,"['Exocyst complex component Sec10', 'SEC10-like 1', 'SEC10 (S. cerevisiae)-like 1', 'PRO1912', 'SEC10-like 1 (S. cerevisiae)']"
EXOC6,"['Exocyst complex component Sec15A', 'SEC15-like protein 1', 'FLJ1125', 'DKFZp761I2124', 'MGC33397', 'EXOC6A', 'SEC15-like 1 (S. cerevisiae)', 'rsec15-like protein', 'SEC15-like 1']"
EXOC6B,"['Exocyst complex component Sec15B', 'KIAA0919', 'SEC15 homolog B (S. cerevisiae)', 'SEC15 homolog B', 'SEC15-like 2 (S. cerevisiae)', 'SEC15L2']"
EXOC7,"['Exocyst complex component Exo70', 'Exo70p', 'KIAA1067', 'YJL085W', 'BLOM4', '2-5-3p', 'NEDSEBA']"
EXOC8,"['Exocyst complex 84 kDa subunit', 'Exo84p', 'NEDMISB']"
EXOG,"[""endo/exonuclease (5'-3'), endonuclease G-like"", 'Endo G-like 1', 'Endonuclease G-like 1', 'EC 3.1.30.-']"
EXOSC1,"['homolog of yeast exosomal core protein CSL4', 'hCsl4p', 'Csl4p', 'CGI-108', 'PCH1F', 'CSL4 exosomal core protein homolog (yeast)']"
EXOSC10,"['Polymyositis/scleroderma autoantigen 100 kDa', 'Autoantigen PM/Scl 2', 'Rrp6p', 'PMSCL2', 'P100 polymyositis-scleroderma overlap syndrome-associated autoantigen', 'autoantigen PM-SCL', 'polymyositis/scleroderma autoantigen 2 (100kD)', 'EC 3.1.13.-']"
EXOSC2,"['Ribosomal RNA-processing protein 4', 'hRrp4p', 'p7', ""homolog of yeast RRP4 (ribosomal RNA processing 4), 3' 5' exoribonuclease (RRP4)"", 'SHRF']"
EXOSC3,"['Ribosomal RNA-processing protein 40', 'hRrp-40', 'CGI-102 protein', 'Rrp40p', 'PCH1B', 'bA3J10.7']"
EXOSC4,"['Ribosomal RNA-processing protein 41', 'hRrp41p', 'FLJ20591', 'Ski6p', 'RRP41A']"
EXOSC5,"['Ribosomal RNA-processing protein 46', 'hRrp46p', 'MGC12901', 'RRP41B', 'CABAC', 'Chronic myelogenous leukemia tumor antigen 28', 'CML28']"
EXOSC6,"['exosome complex exonuclease MTR3', 'hMtr3p', 'EAP4', 'p11', 'Mtr3 (mRNA transport regulator 3)-homolog (yeast)']"
EXOSC7,"['Ribosomal RNA-processing protein 42', 'hRrp42p', 'EAP1', 'KIAA0116', 'p8']"
EXOSC8,"['Ribosomal RNA-processing protein 43', 'OIP-2', 'Rrp43p', 'bA421P11.3', 'p9', 'PCH1C']"
EXOSC9,"['exosome complex exonuclease RRP45', 'PMSCL autoantigen, 75kD', 'Rrp45p', 'p5', 'P75 polymyositis-scleroderma overlap syndrome associated autoantigen', 'PMSCL1', 'Autoantigen PM/Scl 1', 'polymyositis/scleroderma autoantigen 1 (75kD)', 'EC 3.1.13']"
EXPH5,"['Exophilin-5', 'SLAC2-B', 'Synaptotagmin-like protein homolog lacking C2 domains b', 'EBS4', 'KIAA0624']"
EXT1,"['Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase', 'TTV', 'Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase', 'Langer-Giedion syndrome chromosome region', 'exostosin glycosyltransferase 1', 'Exostosin-1', 'LGCR', 'TRPS2', 'Putative tumor suppressor protein EXT1', 'EC 2.4.1.224']"
EXT2,"['Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase', 'SOTV', 'Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase', 'exostosin glycosyltransferase 2', 'SSMS', 'Putative tumor suppressor protein EXT2', 'EC 2.4.1.224']"
EXTL1,"['glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase', 'Exostosin-L', 'MGC70794', 'exostosin like glycosyltransferase 1', 'EC 2.4.1.224']"
EXTL2,"['Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase', 'exostosin like glycosyltransferase 2', 'EXTR2', 'Alpha-1,4-N-acetylhexosaminyltransferase EXTL2', 'EC 2.4.1.223']"
