"","HUVEC_scr_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL"
"ACOT8",5.9794208546583,5.99530154538566,6.00799134196657,6.01911814997686,6.0483773517414,6.0491948598642,5.88852152943893,5.89609809951901,5.8152815548372,5.95934567454583,6.04668920031154,5.86442541884983
"ABI1",10.3671081221132,10.5008858821325,10.2897176780934,10.5471379505276,10.5886924230163,10.4422699176731,10.4862235655744,10.4445222496081,10.2279671691347,10.3067326347174,10.4990768691751,10.5558028393361
"GNPDA1",6.22020342604998,6.49119611370115,6.39397118044202,6.2014168821337,6.2356153849215,5.70554368552152,6.54454759294221,6.3826572675817,6.1924128054268,6.18506533068424,6.15341486876405,6.1006697442603
"KCNE3",3.63822974033262,4.069586780298,4.13650089664633,4.10520985476037,4.07573485612557,4.09829012991219,4.15440937743582,3.98075927484582,3.80088179635018,4.24545101828863,4.17192641273611,4.017958656876
"ZBTB33",7.17930659651504,7.22561754818298,7.28706435060472,7.24073792938256,7.26208974911854,7.20645805064997,7.06960535412447,7.1519337703922,7.00643213945667,7.09047850875815,7.09816453067484,7.08995933349959
"CDH3",4.12875470624493,4.11874359019138,4.1348453353151,4.238634740532,4.58585085559845,4.27983920354154,3.93582904643213,4.11058699981241,4.02038638042561,4.72511024786957,4.32265162096253,4.4397913412045
"TANK",6.21667569904816,6.23709075499948,6.17863586036656,6.35346499800785,6.21520408759108,6.0650051294706,6.55401092354193,6.5570138782988,6.48400568367949,6.39843216273205,6.6090937778639,6.58948101674051
"POM121C",6.12337222416291,5.98549388413001,5.91448297621561,5.74564218780728,5.59334183033638,5.74216354985622,5.92984602049851,6.13599066704312,5.91657047114309,5.73352962413978,6.04117667251095,5.87456949579677
"ZSCAN30",5.65862059456516,5.35335171738442,5.17064575811294,5.82706074459508,5.93248602722823,5.50952392696289,5.78671461178843,5.91698066021829,5.27476642177368,5.35886111676915,5.75226896004465,6.05210056126591
"MCTS2",7.20376858526054,7.13447816474699,7.01568224275306,6.24878590008796,6.52408614089942,6.60878567625444,6.89558659162253,6.91193818449176,7.1116894175857,6.82675775927917,6.56471964510889,6.83711368289899
"SRA1",7.11142403358935,7.12137393517347,7.21374412284861,7.29167066912435,7.18361898949798,7.28070843234433,7.39543960046102,7.20138879775759,7.26644770486917,7.15829198208145,7.23754569631817,7.13793922584828
"TMEM170B",5.07371270869322,5.11746194078303,5.053262426053,4.94212336567587,4.50696479449783,5.05107004746971,5.15561539820214,5.12911670732737,5.20731756939122,5.18254196483862,4.60813097615498,4.78800533609949
"ZGLP1",5.41506041725544,5.11744617890647,5.14533923446545,5.27889107007291,5.26669538583145,5.09130823468441,5.18017195099073,4.91428952945185,4.86029823421616,4.90502579815151,4.78904880695485,5.25693095897499
"MINAR2",2.32711719482335,3.0091427280193,2.55243200210663,2.35688616912024,2.77032480505933,2.74433046126365,2.43096161681305,2.58150584413225,2.84288248982897,2.51546564251448,2.72597356275108,2.5128087766128
"C8orf88",4.77842356934375,4.49357229898116,4.49367233661396,4.21169312787405,4.43589537920348,4.28778229838483,4.74534431209258,4.40806522053613,4.83330332895291,4.31595046009344,4.51109593373076,4.65311428418589
"FAM229A",6.05603995929019,6.14702095935586,5.97008481100096,6.08616422714,6.00962845073389,6.12532822021658,6.08195918889255,5.82553179212597,5.91314328471048,6.03382414458716,6.14061174236742,6.09521424806314
"TRAPPC3L",3.05367876099836,3.30587690862295,3.1484525813862,3.30594052208393,3.51605653970559,3.65672752135127,3.37398274633781,3.59373842730764,3.29662147810424,3.06037419466589,3.30274913357929,3.29230932558607
"TEKTIP1",6.24323939801218,6.21684150961789,6.20720299782036,6.4762829286176,6.43991659318667,6.35481916130552,6.07038076952616,6.09952753922046,6.28099112756105,6.46942377723318,6.25652478915445,6.31797465680618
"OST4",11.7625054134019,11.6684724838798,11.6053954032487,11.6583671661584,11.6179478176032,11.6417671413615,11.7296089165867,11.6965868786568,11.5562265443082,11.6600150392811,11.6968903105232,11.7822681807859
"CIROP",5.01936766464287,5.17767195862724,4.78482709525254,4.86698343814515,4.77170580985496,5.04897583104407,4.53550011846672,4.60346237763062,4.77683745959615,4.94488097654617,4.6580941312592,5.06491517534338
"ZBTB42",4.84672619830706,4.84497710009083,5.0122924704774,4.89261138090145,4.54075072235811,4.67944611802224,4.69116455004548,4.41154162649638,5.28219657812927,4.55714938118924,4.45099481584247,4.8196840088246
"KHDC1L",4.40218352742274,4.46155434310496,4.48946542126957,4.78666998681696,4.67633557151091,4.29341722397042,4.75841914466264,4.3808345962348,4.09047413456137,4.89031820524789,4.67443088704956,4.22424851997346
