"gene","X1.4hr.Con.1.y","X2.4hr.CA.1","X3.4hr.ABA.1","X4.4hr.ABTAA.1","X5.4hr.Con.2","X6.4hr.CA1.2","X7.4hr.ABA.2","X8.4hr.ABTAA.2"
"TMOD3",28.7805,28.1136,32.0058,27.4686,28.8848,23.4606,26.5131,25.6259
"TMOD4",0.500019,0.178787,0,0.155394,0.17543,0,0,0
"TMPO",19.1669,20.3787,22.9274,20.784,19.2241,17.9535,20.772,20.6704
"TMPRSS11A",0,0,0,0,0,0,0,0
"TMPRSS11B",0.0252783,0,0,0,0,0,0,0
"TMPRSS11D",0,0.0256266,0,0,0,0,0,0
"TMPRSS11E",0,0,0,0,0,0,0,0
"TMPRSS11F",0,0,0,0,0,0,0,0
"TMPRSS12",0,0,0,0,0,0,0,0
"TMPRSS13",0.245976,0.17004,0.0976969,0.0561662,0.20773,0.296979,0.106147,0.238811
"TMPRSS15",0,0,0,0,0,0,0,0
"TMPRSS2",0,0,0,0,0,0,0,0
"TMPRSS3",0,0,0,0,0,0,0,0
"TMPRSS4",0,0,0,0,0,0,0,0
"TMPRSS5",0,0.198023,0.217878,0,0.0321839,0.0604359,0,0.0927241
"TMPRSS6",0.399841,0.589062,0.403308,0.437629,0.417149,0.564186,0.443005,0.50089
"TMPRSS7",0,0,0,0,0,0,0,0
"TMPRSS9",0.0621402,0.0221905,0,0,0,0.0203397,0,0.0207367
"TMSB10",1025.07,1006.45,836.816,762.078,729.916,931.561,848.523,824.847
"TMSB15A",5.88131,3.38323,2.72436,3.02527,3.39074,3.19791,2.4475,1.40908
"TMSB15B",3.55614,4.8542,4.73179,3.1568,3.24332,3.33116,2.75343,3.80452
"TMSB4X",6297.67,6658.61,5635.51,5561.09,5108.19,5616.83,4918.37,5535.42
"TMSB4Y",0,0,0,0,0,0,0,0
"TMTC1",1.62375,0.60355,1.59247,0.929864,1.98032,0.666481,1.62308,0.883017
"TMTC2",1.68518,1.46847,2.07143,1.43685,2.20981,1.1471,1.86022,1.64855
"TMTC3",4.13537,3.95827,3.65256,3.6448,3.32695,3.21794,4.94053,4.02536
"TMTC4",7.90338,5.74014,6.18946,7.25504,7.52232,7.29806,6.93254,8.29267
"TMUB1",34.2085,32.0467,26.9513,41.7937,44.0998,44.9045,34.4362,34.3579
"TMUB2",19.7845,19.3066,20.3295,22.7915,19.4196,21.7731,20.5406,16.8232
"TMX1",5.08521,4.58419,4.71646,5.01896,4.73256,4.51378,4.66821,4.18473
"TMX3",9.94249,11.2034,8.92145,8.38823,9.76155,10.3565,9.98349,10.4517
"TMX4",12.5157,13.8573,14.4218,9.36801,11.5182,10.6585,12.2848,12.3523
"TNC",0.302669,0.324106,0.273152,0.443464,0.353471,0.260528,0.351601,0.350629
"TNF",0,0,0,0,0,0,0,0
"TNFAIP1",43.188,39.7415,45.7562,39.4414,44.2145,38.914,40.5087,38.9796
"TNFAIP2",1.90922,2.54356,2.02666,2.46359,1.50199,2.59241,1.47232,1.99982
"TNFAIP3",1.58663,2.42864,2.88773,1.91252,2.73797,2.03097,1.83733,2.14539
"TNFAIP6",0,0,0,0,0,0,0,0
"TNFAIP8",3.71367,4.12906,2.16302,4.27847,3.5924,2.95287,4.42883,4.36448
"TNFAIP8L1",13.7404,12.487,12.4528,14.5751,16.2513,15.4329,12.2607,13.8575
"TNFAIP8L3",13.3231,14.7158,13.2007,14.4998,14.3203,14.0513,12.9266,14.6444
"TNFRSF10A",3.30359,3.1994,2.10141,3.20113,2.7674,2.95466,3.38866,3.13992
"TNFRSF10B",44.2541,42.7905,44.4927,46.6277,46.8287,45.2092,44.5845,50.1399
"TNFRSF10D",22.2781,24.3387,25.1487,26.5679,24.7974,24.3844,22.7339,29.3834
"TNFRSF11A",12.9546,15.7871,12.7166,15.7934,14.4551,17.085,11.5281,17.1495
"TNFRSF11B",0.0576586,0,0.116469,0.0798294,0.0301105,0.028291,0,0
"TNFRSF12A",72.8529,44.5528,76.1337,64.7542,89.1769,55.0198,71.5027,44.4814
"TNFRSF13B",0,0,0,0,0,0,0,0
"TNFRSF13C",0.342575,0,0.441007,0.161532,0.0909376,0.251162,0,0.261367
"TNFRSF14",11.5191,11.8997,10.7838,13.2949,13.2667,16.8087,10.0054,12.2886
"TNFRSF17",0,0,0,0,0,0,0,0.0802584
"TNFRSF18",0,0,0,0,0,0,0,0
"TNFRSF19",0.64991,1.19337,0.513413,1.7266,0.459037,1.00324,0.58245,1.11398
"TNFRSF1A",65.1976,67.8737,59.8646,75.2229,73.0041,75.4998,62.9563,67.7738
"TNFRSF21",29.5634,33.6499,36.8879,37.0175,35.2129,34.395,33.6306,37.0162
"TNFRSF4",0,0.445653,0.212652,0,0,0.0677412,0.230932,0.0701292
"TNFRSF8",0.0572547,0.061353,0.115646,0.0792644,0.0298976,0.0561864,0,0.0574305
"TNFRSF9",0.0212494,0.034135,0.0426594,0.0194809,0.022078,0.0626355,0.0587877,0.106106
"TNFSF10",9.59268,8.92059,8.93965,7.98842,7.77467,7.36023,8.15989,9.84675
"TNFSF11",0,0,0,0,0,0,0,0
"TNFSF13B",0.0511986,0.0274235,0.10332,0.0471989,0.0534249,0.0502533,0.0567296,0.0769836
"TNFSF14",0,0,0,0,0,0,0,0
"TNFSF15",9.04255,7.85443,10.3573,10.3699,9.90373,6.96186,13.2771,5.52731
"TNFSF18",5.49659,2.5212,5.6202,2.28182,7.47573,2.46361,5.64915,3.0309
"TNFSF4",69.1273,42.8293,63.9445,41.7342,68.8833,37.1437,58.5241,44.3531
"TNFSF8",0,0,0,0,0,0,0,0
"TNFSF9",0.847852,0.954406,0.774255,1.10119,0.977903,0.831252,0.940748,1.19466
"TNIK",9.06237,17.8975,8.57297,14.701,11.1093,16.313,10.2345,15.4911
"TNIP1",23.2398,25.0834,23.07,24.5838,26.7978,24.5574,24.1989,22.8915
"TNIP2",9.00355,7.47118,9.1875,8.56501,9.04509,9.7354,9.55638,8.95343
"TNIP3",0,0.0599924,0.0563792,0.0257952,0,0,0,0.028039
"TNK1",0.114035,0.0488317,0.0229549,0.147038,0.118925,0.134348,0.151636,0.11422
"TNK2",5.51568,4.84581,4.45639,5.96925,6.67269,8.36414,4.8183,5.86359
"TNKS",10.7457,10.0933,12.2157,10.4963,10.4085,9.76523,11.7174,11.1306
"TNKS1BP1",9.89162,10.4734,8.49082,10.7767,11.0997,13.9365,8.58425,10.3413
"TNKS2",12.3072,12.4802,13.236,11.3805,13.0391,10.3788,14.557,11.8478
"TNMD",0,0,0,0,0,0,0,0
"TNN",0,0,0.0128672,0,0,0,0,0
"TNNC1",0,0,0,0,0,0,0,0.13182
"TNNC2",0.132361,0,0,0,0,0,0.147978,0
"TNNI1",0,0,0,0.00949292,0,0,0,0
"TNNI2",0,0,0,0,0,0,0,0
"TNNI3",0,0.21142,0,0,0,0,0,0
"TNNT1",1.69888,1.59955,0.842061,0.650876,1.08018,1.02136,0.785467,0.58244
"TNNT2",0,0,0,0,0,0,0,0
"TNNT3",0,0,0,0,0,0,0,0.0645353
"TNP1",0,0,0,0,0,0,0,0
"TNP2",0,0,0,0,0,0,0,0
"TNPO1",53.1775,55.6366,55.1467,45.3381,50.2492,45.4381,56.1042,52.82
"TNPO3",21.5351,22.1234,23.0541,21.3619,21.5817,19.7773,22.6436,22.6652
"TNR",0.0246809,0.092516,0.0247886,0.0679237,0.012828,0.0969891,0.0819492,0.0863045
"TNRC18",6.14281,6.57955,5.55066,8.27345,6.71121,8.24403,6.16667,6.20642
"TNRC6A",22.9597,21.4703,25.9443,22.1082,22.5282,21.9675,24.2277,22.2391
"TNRC6B",3.29084,3.88593,3.6229,3.80126,3.19615,3.64037,3.70505,4.106
"TNRC6C",3.90542,3.63982,3.92349,4.01123,4.53687,4.55733,4.27362,4.54609
"TNS1",11.7338,17.7429,12.7078,17.6204,15.3602,21.3741,14.3213,17.6359
"TNS3",4.02644,4.79051,3.61069,4.77601,4.82875,6.21961,4.27956,4.43827
"TNS4",0,0,0,0,0,0,0,0
"TNXB",0,0,0,0,0,0,0,0
"TOB1",14.2959,13.2236,11.5259,13.3544,12.0663,14.044,11.4974,15.0019
"TOB2",20.6913,18.3037,22.0226,22.4023,24.8193,21.9282,19.1164,20.6267
"TOE1",7.21516,6.8096,6.99395,6.08261,6.82491,8.56866,6.73079,7.31739
"TOLLIP",14.0858,14.8877,12.6647,16.4042,19.3121,18.3472,15.393,16.71
"TOM1",9.14582,10.4212,11.3824,12.495,12.3846,11.9862,10.212,10.7048
"TOM1L1",0.0867375,0.0929415,0,0.133449,0.181178,0.170225,0.128169,0.0580206
"TOM1L2",10.5689,10.0608,11.2668,12.2621,12.9908,12.1031,10.2048,10.655
"TOMM20",159.306,165.782,156.185,134.13,125.964,130.407,119.975,145.788
"TOMM20L",0,0,0,0.151387,0,0,0,0
"TOMM22",44.6423,46.4034,41.0474,51.8625,44.6171,47.6193,36.9627,41.901
"TOMM34",79.3885,87.4674,90.3358,100.533,85.5908,93.095,86.5182,84.4559
"TOMM40",14.46,13.9116,17.5485,18.4897,14.739,18.4185,13.1039,15.5414
"TOMM40L",2.54423,3.50655,3.07025,3.1528,4.07179,3.93992,3.2552,2.48614
"TOMM5",91.6301,101.643,90.2479,99.9884,83.4929,94.3305,77.6762,92.945
"TOMM7",22.7334,24.0548,22.6026,15.8833,18.3919,20.159,17.436,17.0874
"TONSL",3.72291,3.66575,3.02818,4.15031,3.94345,4.30014,4.17485,4.14825
"TOP1",50.799,49.3386,48.7564,42.2234,47.8787,43.2753,51.8681,44.612
"TOP1MT",3.36691,3.85392,4.12396,3.17451,3.7185,4.35456,2.62619,3.41689
"TOP2A",51.2318,49.7676,56.391,49.2678,43.7797,44.9085,60.043,49.1831
